,Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL,Unusual
4201,13:30,8BLTE,23.545,4.547,1.46,0.135,56.632,1.655,1.536,1.253,7.0,6.0,13,0
13959,6:45,5CLTE,3.881,0.597,0.106,0.031,7.789,0.816,1.025,0.995,3.0,2.0,5,1
26648,12:30,1BLTE,21.625,2.526,0.76,0.247,18.889,13.979,1.425,1.152,7.0,4.0,11,0
2628,10:45,4ALTE,4.677,0.995,0.288,0.028,9.762,0.479,1.055,1.065,3.0,3.0,6,1
36590,23:45,8BLTE,7.781,2.122,1.027,0.066,56.323,0.631,1.132,1.031,4.0,3.0,7,0
12600,20:30,8BLTE,8.557,1.095,0.197,0.029,19.365,0.47,1.104,1.035,4.0,3.0,7,1
32217,4:15,7ULTE,0.202,0.909,0.032,0.016,0.288,0.244,1.061,0.01,3.0,2.0,5,0
3527,19:45,3BLTE,13.945,2.526,0.928,0.087,32.829,0.682,1.263,1.061,5.0,3.0,8,0
5209,21:15,10BLTE,11.924,1.819,0.934,0.845,39.53,2.282,1.182,1.041,4.0,3.0,7,0
4786,19:00,5CLTE,18.088,2.627,0.509,0.073,30.405,0.837,1.314,1.192,6.0,5.0,11,0
28333,19:45,2ALTE,0.202,0.404,0.007,0.007,0.039,0.041,1.011,0.01,1.0,1.0,2,0
18286,0:30,6ALTE,3.032,0.707,0.313,0.038,18.171,0.894,1.051,0.01,3.0,2.0,5,0
22002,5:00,4BLTE,10.408,0.505,0.031,0.006,2.453,0.31,1.213,1.031,4.0,2.0,6,0
1067,17:30,1BLTE,16.976,3.739,1.177,0.124,29.877,4.816,1.425,1.101,7.0,4.0,11,0
26181,14:30,8BLTE,21.625,3.133,0.681,0.183,23.898,11.801,1.384,1.213,6.0,6.0,12,0
10112,7:30,10BLTE,1.011,0.404,0.039,0.01,1.168,0.245,1.021,1.011,2.0,1.0,3,0
22857,8:45,4BLTE,15.158,2.021,1.001,0.06,32.324,0.795,1.223,1.041,6.0,3.0,9,0
29213,22:45,6WLTE,11.823,2.93,0.274,0.149,5.553,0.451,1.233,0.01,5.0,5.0,10,0
17874,12:30,7ULTE,3.638,8.488,1.565,0.138,25.288,1.381,1.607,0.01,7.0,4.0,11,0
12474,11:30,6CLTE,5.861,0.808,0.242,0.029,48.296,1.688,1.061,0.01,4.0,2.0,6,0
14404,9:15,7WLTE,1.415,2.021,0.305,0.049,11.189,4.034,1.142,0.01,4.0,3.0,7,0
5663,15:30,1CLTE,28.092,6.871,1.919,0.127,29.483,0.997,1.556,1.425,7.0,6.0,13,0
33833,10:30,7WLTE,1.516,3.638,0.559,0.063,40.897,0.874,1.344,0.01,6.0,3.0,9,0
29510,11:15,6WLTE,3.234,3.335,0.402,0.085,16.758,0.866,1.314,0.01,6.0,4.0,10,0
19363,12:00,4BLTE,25.768,3.133,0.894,0.096,48.786,0.971,1.506,1.223,7.0,5.0,12,0
22186,4:45,3ALTE,2.985,0.697,0.238,0.028,10.618,0.342,1.035,1.005,3.0,2.0,5,1
36705,21:45,1CLTE,31.144,5.871,1.424,0.139,29.4,1.254,1.692,1.791,7.0,8.0,15,1
7864,18:30,6ULTE,1.819,2.829,0.504,0.068,15.683,3.607,1.273,0.01,6.0,4.0,10,0
11273,17:45,4ALTE,6.667,0.995,0.179,0.034,5.799,0.412,1.085,1.025,4.0,3.0,7,1
32272,7:00,7ULTE,0.199,1.493,0.526,0.02,10.545,0.242,1.035,0.01,3.0,2.0,5,1
7115,0:00,10BLTE,2.985,0.796,0.198,0.019,4.015,0.149,1.025,0.995,3.0,2.0,5,1
36471,21:45,3ALTE,10.307,1.314,0.473,0.078,16.977,1.63,1.182,1.091,5.0,3.0,8,0
9173,13:45,7ULTE,1.294,3.085,0.804,0.077,25.438,4.509,1.214,0.01,5.0,4.0,9,1
16396,23:15,6BLTE,20.917,4.85,1.537,0.094,51.549,2.666,1.263,0.01,5.0,4.0,9,0
22753,22:15,10BLTE,6.568,0.909,0.28,0.089,10.181,2.057,1.122,1.051,3.0,3.0,6,0
3470,18:00,7ALTE,0.707,1.92,0.52,0.06,33.498,0.876,1.364,0.01,5.0,3.0,8,0
11217,9:45,5ALTE,16.471,3.234,0.772,0.086,27.694,2.19,1.293,1.071,5.0,4.0,9,0
28702,18:30,6ALTE,7.074,0.808,0.164,0.032,15.439,0.456,1.091,0.01,5.0,2.0,7,0
22209,22:15,8ALTE,20.917,2.526,0.638,0.113,27.001,0.798,1.516,1.182,7.0,5.0,12,0
36422,22:15,7ALTE,0.303,1.011,0.268,0.033,19.145,0.688,1.192,0.01,4.0,2.0,6,0
31811,9:30,1ALTE,2.886,0.498,0.08,0.017,14.154,0.655,1.075,1.005,3.0,2.0,5,1
24849,17:30,7BLTE,0.505,2.021,0.533,0.069,26.207,0.984,1.425,0.01,6.0,3.0,9,0
36431,17:00,7BLTE,0.398,1.493,0.6,0.069,35.769,2.714,1.214,0.01,6.0,3.0,9,1
26759,19:45,6VLTE,2.526,3.739,0.373,0.053,8.102,0.613,1.253,0.01,5.0,4.0,9,0
8145,5:30,4BLTE,9.095,0.404,0.006,0.003,0.163,0.086,1.283,1.011,3.0,2.0,5,0
18151,6:15,4ALTE,1.92,0.505,0.059,0.01,8.932,0.431,1.031,1.011,3.0,2.0,5,0
13818,19:00,3BLTE,15.025,2.388,0.507,0.067,10.546,0.475,1.333,1.035,5.0,4.0,9,1
13107,15:00,7CLTE,0.303,0.808,0.232,0.068,16.102,2.799,1.213,0.01,5.0,2.0,7,0
35446,4:00,9ALTE,1.692,0.398,0.024,0.007,1.138,0.11,1.005,0.995,2.0,1.0,3,1
15849,6:30,10ALTE,2.627,0.505,0.191,0.027,25.968,0.798,1.031,1.011,3.0,2.0,5,0
12357,13:30,6ALTE,14.046,2.425,0.967,0.065,44.55,0.504,1.233,0.01,5.0,4.0,9,0
8673,1:15,5ALTE,1.011,0.505,0.076,0.015,2.724,0.338,1.011,1.011,2.0,2.0,4,0
13873,19:15,1ALTE,15.158,4.547,1.137,0.078,20.383,0.767,1.364,1.192,5.0,4.0,9,0
1188,14:45,10ALTE,14.45,1.213,0.356,0.05,5.602,1.315,1.182,1.071,6.0,4.0,10,0
9403,19:30,6CLTE,6.265,0.707,0.113,0.027,6.87,1.524,1.041,0.01,4.0,3.0,7,0
35879,12:30,7CLTE,0.505,1.415,0.593,0.058,26.732,0.717,1.273,0.01,5.0,3.0,8,0
2369,23:15,10CLTE,3.941,0.808,0.151,0.024,3.91,0.402,1.051,1.021,3.0,2.0,5,0
30153,19:00,6ALTE,6.467,0.909,0.204,0.022,10.648,0.243,1.081,0.01,3.0,2.0,5,0
9277,4:45,6VLTE,0.404,1.011,0.211,0.022,5.312,0.183,1.041,0.01,3.0,2.0,5,0
31202,8:15,10ALTE,2.09,0.597,0.178,0.014,19.792,0.361,1.015,0.995,3.0,2.0,5,1
6463,11:15,1CLTE,25.869,2.829,0.485,0.085,10.621,0.951,1.344,1.344,7.0,5.0,12,0
26566,13:15,10BLTE,10.812,0.909,0.198,0.039,6.82,1.677,1.162,1.041,5.0,3.0,8,0
2671,6:15,6ALTE,1.112,0.404,0.031,0.01,1.956,0.423,1.011,0.01,2.0,1.0,3,0
12637,16:15,1ALTE,11.045,1.194,0.244,0.045,12.028,0.679,1.154,1.035,4.0,3.0,7,1
24362,14:30,8ALTE,23.444,7.68,2.392,0.141,32.291,1.108,1.506,1.172,6.0,5.0,11,0
33906,4:15,3ALTE,1.516,0.505,0.184,0.023,8.819,0.359,1.031,1.011,3.0,2.0,5,0
25318,14:45,2ALTE,1.314,0.404,0.009,0.009,0.103,0.066,1.011,0.01,2.0,1.0,3,0
35521,23:45,4BLTE,18.109,6.468,0.722,0.08,19.366,0.909,1.333,1.124,6.0,4.0,10,1
5869,10:30,8ALTE,17.711,6.468,2.698,0.11,37.398,0.882,1.373,1.194,7.0,5.0,12,1
3466,15:30,1CLTE,24.656,3.032,0.736,0.106,24.888,1.225,1.465,1.213,6.0,5.0,11,0
20021,15:45,3CLTE,9.154,1.99,0.911,0.066,18.824,1.771,1.154,1.035,4.0,3.0,7,1
15577,4:15,3ALTE,1.617,0.707,0.678,0.028,5.237,0.508,1.021,1.011,2.0,2.0,4,0
32532,15:45,6WLTE,1.393,1.692,0.173,0.055,5.073,2.42,1.174,0.01,5.0,3.0,8,1
34586,14:30,10BLTE,5.473,0.896,0.343,0.091,11.466,3.364,1.065,1.005,3.0,3.0,6,1
18494,16:45,9BLTE,5.659,2.627,0.795,0.052,34.588,0.827,1.091,1.041,3.0,3.0,6,0
25757,10:15,10BLTE,5.356,0.808,0.169,0.025,7.867,0.53,1.071,1.021,4.0,3.0,7,0
36730,21:15,7WLTE,1.314,3.234,0.595,0.047,18.831,0.61,1.142,0.01,5.0,3.0,8,0
35901,6:00,1ALTE,3.383,0.597,0.027,0.021,0.651,0.237,1.025,0.995,4.0,2.0,6,1
31508,23:15,6VLTE,2.627,4.547,0.666,0.067,11.919,0.526,1.384,0.01,8.0,4.0,12,0
23650,23:30,7ALTE,0.101,0.505,0.182,0.047,17.82,1.858,1.051,0.01,3.0,2.0,5,0
5368,19:00,10ALTE,9.6,3.84,1.437,0.057,43.554,0.78,1.152,1.061,4.0,3.0,7,0
34990,21:15,6WLTE,6.866,4.776,0.884,0.419,19.363,4.906,1.353,0.01,5.0,4.0,9,1
35691,8:15,2ALTE,0.1,0.398,0.039,0.013,0.405,0.075,0.995,0.01,1.0,1.0,2,1
6326,2:00,7ALTE,0.1,0.796,0.292,0.039,17.552,0.579,1.045,0.01,3.0,2.0,5,1
4923,0:45,10BLTE,2.687,0.498,0.07,0.021,5.176,0.337,1.025,0.995,3.0,2.0,5,1
32353,6:00,8BLTE,1.415,0.404,0.081,0.01,3.272,0.15,1.021,1.011,3.0,2.0,5,0
7530,8:15,6ULTE,1.516,2.425,0.545,0.079,10.507,0.969,1.384,0.01,5.0,3.0,8,0
7325,5:15,5ALTE,0.303,0.404,0.024,0.008,0.409,0.037,1.021,1.011,2.0,1.0,3,0
20094,0:45,4BLTE,14.147,1.213,0.216,0.023,8.216,0.721,1.112,1.021,5.0,3.0,8,0
23197,18:15,2ALTE,0.199,0.398,0.025,0.009,0.187,0.049,0.995,0.01,1.0,1.0,2,1
34832,17:00,1ALTE,25.364,4.446,1.945,0.138,22.015,1.063,1.475,1.122,6.0,4.0,10,0
15041,13:45,9ALTE,14.248,1.92,0.509,0.063,16.899,0.837,1.253,1.071,5.0,4.0,9,0
3811,4:15,4CLTE,3.638,0.505,0.049,0.015,4.704,0.686,1.041,1.021,3.0,2.0,5,0
20087,1:00,6ULTE,0.505,1.112,0.085,0.018,5.106,0.785,1.071,0.01,3.0,2.0,5,0
16988,19:15,4BLTE,24.959,6.063,2.143,0.148,38.322,3.891,1.546,1.253,8.0,6.0,14,0
14118,14:45,4ALTE,5.76,0.808,0.101,0.022,4.23,0.372,1.071,1.021,4.0,3.0,7,0
20246,3:30,4ALTE,0.404,0.404,0.009,0.004,0.209,0.034,1.011,1.011,1.0,1.0,2,0
807,17:00,6ALTE,13.137,1.516,0.487,0.061,15.153,0.939,1.162,0.01,5.0,3.0,8,0
5938,6:15,10ALTE,1.314,0.404,0.061,0.013,2.377,0.169,1.021,1.021,2.0,2.0,4,0
32455,1:15,6VLTE,1.99,4.975,0.844,0.049,25.278,0.559,1.224,0.01,5.0,4.0,9,1
9857,19:30,5ALTE,5.871,0.796,0.212,0.051,10.247,1.277,1.085,1.015,3.0,3.0,6,1
23240,15:00,7CLTE,0.404,1.112,0.209,0.037,8.832,0.72,1.162,0.01,6.0,3.0,9,0
23853,5:00,3ALTE,5.871,1.095,0.248,0.024,11.708,0.271,1.055,1.035,3.0,3.0,6,1
25306,7:30,8CLTE,0.299,0.398,0.015,0.008,0.16,0.075,0.995,0.995,1.0,1.0,2,1
8007,20:15,6VLTE,2.09,4.975,0.766,0.065,22.566,1.258,1.274,0.01,6.0,4.0,10,1
24653,2:30,6WLTE,0.404,1.213,0.27,0.024,12.431,0.293,1.041,0.01,3.0,2.0,5,0
34574,19:00,5ALTE,4.975,0.896,0.183,0.045,4.329,13.3,1.065,1.035,4.0,3.0,7,1
2610,14:15,3BLTE,27.789,6.467,1.401,0.179,24.251,10.561,1.627,1.496,8.0,6.0,14,0
5545,6:30,7WLTE,0.101,0.808,0.019,0.007,0.363,0.031,1.021,0.01,2.0,1.0,3,0
31927,3:45,1BLTE,2.021,0.606,0.261,0.021,17.983,0.737,1.031,1.011,2.0,2.0,4,0
18878,5:30,7BLTE,0.101,0.606,0.154,0.013,16.767,0.212,1.051,0.01,2.0,2.0,4,0
22936,6:15,9BLTE,0.606,0.404,0.028,0.01,0.367,0.125,1.031,1.011,2.0,2.0,4,0
8912,5:00,2ALTE,0.0,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
22339,13:30,5BLTE,27.081,3.537,1.128,0.116,42.78,0.994,1.475,1.283,6.0,6.0,12,0
5450,4:00,5CLTE,2.93,0.505,0.052,0.005,12.529,0.357,1.021,1.011,2.0,1.0,3,0
28805,11:15,8CLTE,8.993,1.718,0.444,0.052,19.483,0.562,1.152,1.061,5.0,3.0,8,0
30741,2:00,5CLTE,4.749,2.627,0.957,0.024,43.216,0.835,1.041,1.011,3.0,2.0,5,0
27544,3:00,6ALTE,2.324,0.404,0.036,0.007,0.514,0.306,1.011,0.01,2.0,2.0,4,0
34182,2:30,6ULTE,1.393,1.791,0.374,0.055,16.38,0.475,1.114,0.01,4.0,3.0,7,1
21885,22:45,3BLTE,7.065,1.592,0.382,0.027,19.912,0.689,1.055,1.015,3.0,3.0,6,1
30244,22:00,6VLTE,1.718,3.436,0.342,0.041,9.133,0.709,1.243,0.01,6.0,3.0,9,0
21778,1:45,4CLTE,7.983,7.074,2.329,0.049,36.141,0.732,1.112,1.051,4.0,3.0,7,0
10061,9:45,6VLTE,0.909,1.819,0.258,0.026,12.771,0.573,1.122,0.01,4.0,3.0,7,0
1423,8:45,10CLTE,2.728,0.505,0.023,0.01,1.022,0.121,1.021,1.011,2.0,2.0,4,0
9254,21:15,6ULTE,1.213,2.425,0.574,0.047,38.443,0.825,1.192,0.01,4.0,3.0,7,0
25440,19:45,6WLTE,2.425,4.85,0.54,0.054,11.998,0.379,1.293,0.01,6.0,3.0,9,0
36310,22:30,5CLTE,12.438,2.388,0.551,0.051,21.554,0.914,1.154,1.045,5.0,3.0,8,1
18963,4:45,1ALTE,0.909,0.404,0.039,0.011,2.555,0.218,1.011,1.011,1.0,1.0,2,0
838,20:15,6ALTE,8.06,2.488,0.781,0.061,25.362,0.932,1.134,0.01,4.0,3.0,7,1
8895,10:45,7VLTE,2.223,7.074,0.499,0.05,11.959,1.221,1.304,0.01,5.0,3.0,8,0
10670,23:00,7BLTE,0.303,1.415,0.569,0.05,38.761,1.27,1.344,0.01,5.0,3.0,8,0
28747,12:00,7CLTE,0.404,1.112,0.344,0.053,16.951,0.771,1.273,0.01,6.0,3.0,9,0
5947,21:00,10BLTE,6.063,3.436,1.43,0.054,22.757,0.75,1.081,1.021,4.0,3.0,7,0
35803,5:00,10CLTE,0.398,0.398,0.012,0.006,0.164,0.171,0.995,0.995,1.0,1.0,2,1
10020,18:30,1BLTE,26.071,3.739,1.069,0.182,16.756,9.177,1.536,1.202,7.0,5.0,12,0
29267,22:45,10ALTE,7.478,1.011,0.349,0.038,15.434,0.772,1.071,1.031,4.0,2.0,6,0
8034,8:45,7VLTE,1.213,3.234,0.59,0.034,49.269,0.571,1.192,0.01,5.0,4.0,9,0
35949,16:00,8CLTE,5.174,0.597,0.084,0.027,4.452,0.354,1.045,1.005,4.0,2.0,6,1
4973,17:00,6ULTE,2.324,8.084,1.392,0.106,17.487,1.129,1.667,0.01,7.0,4.0,11,0
4091,5:30,3CLTE,0.404,0.404,0.02,0.009,0.686,0.053,1.011,1.011,2.0,1.0,3,0
14137,7:30,4ALTE,2.324,0.505,0.116,0.011,22.982,0.17,1.031,1.011,3.0,2.0,5,0
36284,11:30,1CLTE,16.219,1.692,0.436,0.05,17.651,0.667,1.174,1.104,4.0,4.0,8,1
17704,1:45,9ALTE,0.303,0.404,0.006,0.006,0.053,0.143,1.011,1.011,1.0,1.0,2,0
2,7:45,9BLTE,0.498,0.398,0.015,0.01,0.262,0.164,0.995,0.995,1.0,1.0,2,1
2661,16:15,6CLTE,9.499,1.617,0.556,0.065,13.826,0.91,1.152,0.01,4.0,3.0,7,0
11140,19:15,1BLTE,22.332,3.133,0.727,0.185,14.033,5.167,1.95,1.273,9.0,6.0,15,0
34929,7:15,3CLTE,3.234,0.909,0.239,0.025,6.148,0.277,1.031,1.011,2.0,2.0,4,0
12427,17:00,1CLTE,23.283,3.085,0.976,0.138,14.688,4.944,1.483,1.284,7.0,5.0,12,1
20966,18:15,7ALTE,0.707,2.122,0.472,0.05,13.472,0.502,1.304,0.01,6.0,4.0,10,0
13364,10:30,6ULTE,3.032,6.77,1.542,0.129,22.963,1.125,1.485,0.01,6.0,4.0,10,0
8055,17:45,6ULTE,2.122,2.728,0.604,0.08,21.471,6.901,1.263,0.01,5.0,3.0,8,0
20645,21:15,4CLTE,23.582,20.0,6.821,0.257,33.632,1.882,1.244,1.214,6.0,5.0,11,1
29379,10:15,10CLTE,7.276,0.808,0.123,0.027,6.076,0.377,1.081,1.021,3.0,3.0,6,0
2486,4:30,10CLTE,2.93,1.314,0.393,0.019,7.059,0.213,1.021,1.011,2.0,2.0,4,0
22232,0:00,7ALTE,0.101,0.606,0.147,0.018,3.336,0.289,1.051,0.01,3.0,2.0,5,0
5670,0:00,6ULTE,0.995,1.791,0.335,0.037,5.314,0.307,1.204,0.01,4.0,3.0,7,1
7784,0:15,6ALTE,2.985,0.498,0.104,0.019,7.05,0.339,1.025,0.01,3.0,2.0,5,1
15094,23:30,6BLTE,15.423,1.592,0.346,0.051,18.453,0.806,1.174,0.01,5.0,4.0,9,1
23949,16:30,6ALTE,12.126,1.314,0.408,0.066,23.298,1.262,1.182,0.01,5.0,3.0,8,0
11158,19:30,8ALTE,25.97,3.383,1.329,0.267,53.675,2.599,1.453,1.224,7.0,5.0,12,1
24858,12:45,5ALTE,6.07,0.995,0.232,0.04,7.518,2.14,1.055,1.025,3.0,3.0,6,1
11699,5:15,5ALTE,1.011,0.404,0.021,0.019,0.577,0.19,1.011,1.011,2.0,1.0,3,0
24230,9:30,7CLTE,0.202,1.112,0.274,0.029,15.307,0.493,1.142,0.01,4.0,3.0,7,0
3499,15:30,6CLTE,3.284,0.597,0.114,0.018,6.986,0.352,1.035,0.01,4.0,2.0,6,1
25628,7:00,3ALTE,3.184,0.896,0.376,0.038,15.054,0.642,1.015,0.995,3.0,2.0,5,1
32171,18:30,4CLTE,13.93,1.592,0.411,0.052,15.476,0.787,1.154,1.104,4.0,4.0,8,1
28369,13:00,4BLTE,33.448,4.951,1.627,0.147,50.103,1.496,1.627,1.213,8.0,7.0,15,0
14685,15:30,7ALTE,0.404,1.92,0.379,0.039,16.478,1.036,1.243,0.01,5.0,3.0,8,0
5405,9:45,2ALTE,0.404,0.404,0.015,0.014,0.229,0.142,1.011,0.01,1.0,1.0,2,0
34893,4:45,6CLTE,2.627,0.404,0.019,0.008,0.585,0.173,1.021,0.01,2.0,2.0,4,0
834,8:15,7WLTE,1.92,3.133,0.69,0.056,24.597,1.586,1.192,0.01,5.0,3.0,8,0
29121,21:00,3ALTE,14.45,1.819,0.401,0.047,41.769,0.49,1.202,1.061,5.0,4.0,9,0
9856,12:45,4BLTE,11.741,1.095,0.218,0.033,9.005,0.355,1.214,1.085,5.0,4.0,9,1
1773,21:00,6VLTE,3.582,12.935,1.47,0.09,19.686,0.845,1.443,0.01,5.0,4.0,9,1
9325,7:15,10BLTE,1.213,0.505,0.05,0.019,0.997,0.394,1.031,1.011,3.0,2.0,5,0
35556,7:15,1CLTE,15.36,0.808,0.18,0.034,12.298,0.347,1.182,1.071,5.0,3.0,8,0
17042,16:45,5CLTE,19.098,2.728,0.719,0.082,24.228,1.688,1.344,1.112,6.0,4.0,10,0
21349,20:00,7VLTE,2.223,6.77,1.013,0.107,20.127,1.076,1.425,0.01,6.0,4.0,10,0
2933,9:00,1ALTE,2.687,0.697,0.205,0.025,11.861,0.369,1.025,1.005,3.0,2.0,5,1
8115,4:45,9ALTE,0.202,0.404,0.013,0.011,0.149,0.095,1.011,1.011,1.0,1.0,2,0
25922,0:00,3CLTE,1.294,0.498,0.092,0.016,12.921,0.502,1.005,0.995,2.0,2.0,4,1
13079,0:15,10CLTE,10.408,2.627,0.703,0.061,8.309,0.468,1.243,1.061,6.0,4.0,10,0
2154,0:00,6WLTE,6.866,1.393,0.065,0.136,3.242,0.969,1.144,0.01,4.0,4.0,8,1
21337,12:45,7ALTE,0.498,1.294,0.496,0.069,10.337,0.753,1.134,0.01,4.0,2.0,6,1
23843,12:00,8CLTE,3.881,0.498,0.067,0.026,2.074,1.966,1.035,1.005,3.0,3.0,6,1
25642,3:15,6WLTE,0.404,4.446,0.481,0.02,8.603,1.376,1.061,0.01,3.0,2.0,5,0
34823,5:30,3CLTE,0.404,0.404,0.069,0.01,1.627,0.088,1.011,1.011,2.0,1.0,3,0
371,10:45,7VLTE,2.223,5.962,0.618,0.141,15.336,11.026,1.233,0.01,4.0,3.0,7,0
9301,8:45,6ULTE,1.92,2.93,0.387,0.05,11.825,0.656,1.304,0.01,5.0,4.0,9,0
28093,21:15,1CLTE,39.701,6.766,2.996,0.375,32.502,0.967,2.478,1.711,10.0,9.0,19,1
8767,18:30,6ALTE,12.025,6.063,2.453,0.118,52.781,1.94,1.213,0.01,5.0,4.0,9,0
8657,6:30,9BLTE,0.909,0.404,0.028,0.011,1.314,0.168,1.041,1.011,2.0,1.0,3,0
10398,20:45,7ALTE,0.303,1.213,0.353,0.035,7.552,0.485,1.192,0.01,5.0,3.0,8,0
24385,17:00,6ALTE,11.014,1.112,0.24,0.041,14.053,0.659,1.122,0.01,5.0,3.0,8,0
17456,0:30,4BLTE,13.035,1.92,0.558,0.045,31.412,0.877,1.202,1.122,5.0,4.0,9,0
17098,1:30,5BLTE,7.579,1.213,0.31,0.031,8.031,0.393,1.091,1.051,4.0,3.0,7,0
15539,22:30,7VLTE,0.808,1.617,0.18,0.027,6.104,0.417,1.071,0.01,4.0,3.0,7,0
14169,17:30,10ALTE,9.398,1.718,0.405,0.051,24.368,1.004,1.172,1.041,5.0,3.0,8,0
31742,6:00,5ALTE,1.112,0.505,0.109,0.019,4.606,0.499,1.031,1.011,2.0,2.0,4,0
17356,23:45,8CLTE,4.85,0.707,0.148,0.021,6.748,0.317,1.091,1.031,4.0,2.0,6,0
31691,20:00,7BLTE,0.404,1.819,0.594,0.064,23.709,1.26,1.354,0.01,8.0,3.0,11,0
26617,5:00,7VLTE,0.1,0.796,0.02,0.004,0.709,0.051,1.005,0.01,2.0,2.0,4,1
12705,8:30,4CLTE,7.478,0.909,0.226,0.02,22.027,0.3,1.071,1.041,4.0,3.0,7,0
22335,14:30,4ALTE,6.567,0.896,0.199,0.023,37.748,0.299,1.055,1.025,4.0,3.0,7,1
33165,1:30,7VLTE,0.707,1.718,0.229,0.011,23.526,0.489,1.101,0.01,4.0,2.0,6,0
27075,17:45,4CLTE,20.715,3.032,0.592,0.088,24.533,3.378,1.394,1.405,6.0,5.0,11,0
11796,0:45,5CLTE,6.265,0.808,0.191,0.02,9.06,0.478,1.081,1.021,4.0,2.0,6,0
452,6:45,7CLTE,0.0,0.404,0.04,0.012,1.406,0.255,1.041,0.01,2.0,2.0,4,0
9389,3:15,5BLTE,6.965,1.393,0.313,0.018,28.313,0.519,1.035,1.005,3.0,3.0,6,1
16644,10:45,10BLTE,6.366,0.909,0.244,0.039,10.296,0.47,1.122,1.051,4.0,3.0,7,0
36747,14:45,2ALTE,0.303,0.404,0.009,0.005,0.091,0.026,1.011,0.01,2.0,1.0,3,0
22428,12:45,4CLTE,16.875,2.223,0.423,0.07,23.96,1.556,1.304,1.283,6.0,5.0,11,0
26005,7:45,7VLTE,0.597,0.995,0.038,0.061,1.31,12.893,1.035,0.01,3.0,2.0,5,1
14565,17:15,1CLTE,27.486,3.638,1.073,0.156,37.588,5.782,1.566,1.293,7.0,6.0,13,0
26601,6:30,3CLTE,1.011,0.404,0.063,0.032,1.343,2.933,1.011,1.011,2.0,2.0,4,0
24332,7:00,6BLTE,8.084,7.983,6.185,0.711,58.825,48.201,1.071,0.01,3.0,2.0,5,0
30672,9:30,8BLTE,25.465,9.196,3.298,0.384,55.931,6.358,1.536,1.233,7.0,5.0,12,0
15542,5:00,9BLTE,0.498,0.398,0.015,0.008,0.303,0.167,0.995,0.995,2.0,1.0,3,1
25185,2:45,7ALTE,0.0,0.505,0.236,0.016,12.252,0.407,1.031,0.01,2.0,1.0,3,0
14703,7:45,8ALTE,4.478,0.498,0.09,0.021,4.543,0.258,1.045,1.005,4.0,2.0,6,1
35286,14:45,6ALTE,11.014,1.92,1.02,0.056,63.187,1.334,1.132,0.01,4.0,3.0,7,0
20452,12:00,5BLTE,24.656,3.032,1.191,0.111,33.136,0.788,1.445,1.182,7.0,5.0,12,0
30448,23:30,3CLTE,2.425,0.505,0.08,0.17,3.99,30.203,1.031,1.011,3.0,2.0,5,0
27437,14:00,2ALTE,0.1,0.398,0.008,0.008,0.032,0.024,0.995,0.01,1.0,1.0,2,1
6968,9:15,3CLTE,2.587,0.498,0.135,0.024,3.558,0.253,1.045,0.995,3.0,2.0,5,1
11033,7:00,7BLTE,0.1,0.597,0.132,0.01,8.005,0.307,0.905,0.01,3.0,2.0,5,1
4307,20:00,3CLTE,6.07,1.095,0.292,0.037,8.696,0.686,1.095,1.015,3.0,3.0,6,1
18413,19:00,7ALTE,0.1,0.796,0.356,0.021,10.362,0.365,1.075,0.01,3.0,2.0,5,1
5129,10:45,5BLTE,31.831,3.537,0.838,0.157,37.475,3.916,1.556,1.455,9.0,7.0,16,0
25589,11:00,7WLTE,1.415,2.223,0.367,0.063,9.15,0.602,1.202,0.01,4.0,3.0,7,0
11952,3:45,3BLTE,4.648,1.314,0.272,0.035,8.344,0.55,1.061,1.021,3.0,2.0,5,0
29486,18:30,10ALTE,6.567,0.796,0.13,0.025,6.742,0.459,1.075,1.015,4.0,2.0,6,1
10954,12:45,3CLTE,4.378,0.697,0.212,0.027,8.945,1.901,1.065,1.005,3.0,2.0,5,1
8826,4:00,2ALTE,0.0,0.404,0.002,0.001,0.002,0.001,1.011,0.01,1.0,1.0,2,0
10306,18:00,4CLTE,15.721,3.781,1.262,0.084,24.235,1.012,1.502,1.214,6.0,5.0,11,1
2026,13:30,9BLTE,3.133,0.707,0.085,0.017,3.429,0.282,1.031,1.011,2.0,2.0,4,0
20370,13:00,1BLTE,15.92,1.891,0.473,0.053,23.459,0.534,1.154,1.085,4.0,4.0,8,1
34037,9:30,7CLTE,0.202,0.707,0.152,0.025,5.57,0.38,1.152,0.01,4.0,3.0,7,0
9961,9:45,3BLTE,20.109,3.941,0.963,0.116,14.097,0.853,1.536,1.364,7.0,6.0,13,0
5890,9:00,5ALTE,10.61,2.122,0.771,0.077,42.649,4.649,1.162,1.101,4.0,4.0,8,0
32108,1:15,6CLTE,4.951,0.505,0.142,0.016,3.842,0.415,1.041,0.01,3.0,3.0,6,0
13154,0:15,5BLTE,12.025,0.909,0.227,0.024,16.319,0.349,1.142,1.041,4.0,3.0,7,0
29125,17:00,10BLTE,8.69,1.011,0.303,0.036,18.254,0.791,1.122,1.041,4.0,3.0,7,0
